essay_id	essay_set	essay	score1
ST.31b.384.1	LF_27a	: To make sound . 	correct
ST.31b.391.1	LF_27a	: To make noise . 	correct
ST.31b.394.1	LF_27a	: Another function is to protect . 	irrelevant
ST.31b.397.1	LF_27a	: To make sounds . 	correct
ST.31b.399.1	LF_27a	: To protect . 	irrelevant
ST.31b.400.1	LF_27a	: It is to work and the abdomen of the bess beetle ? 	irrelevant
ST.31b.419.1	LF_27a	: Their soft body . 	irrelevant
ST.31b.421.1	LF_27a	: The jaw of the bess beetle . 	irrelevant
ST.31b.425.1	LF_27a	: To fly . 	irrelevant
ST.31b.427.1	LF_27a	: Horn . 	irrelevant
ST.31b.454.1	LF_27a	: Protection . 	irrelevant
ST.31b.458.1	LF_27a	: To help make the strangulating sound of the bess beetle . 	correct
ST.31b.459.1	LF_27a	: Protecting the thorax of the bess beetle . 	irrelevant
ST.31b.460.1	LF_27a	: To help strangulate . 	irrelevant
ST.31b.461.1	LF_27a	: Making a sound . 	correct
ST.31b.463.1	LF_27a	: Another function is to strangulate or make noises . 	correct
ST.31b.470.1	LF_27a	: Strangulating . 	irrelevant
ST.31b.490.1	LF_27a	: The hard black wing set . 	irrelevant
ST.31b.491.1	LF_27a	: Abdomen . 	irrelevant
ST.31b.493.1	LF_27a	: Another function of the elytra is to fly . 	partially_correct_incomplete
ST.31b.527.1	LF_27a	: To make noise with wings . 	correct
ST.31b.530.1	LF_27a	: Another function for elytra is abdomen . 	irrelevant
ST.31b.532.1	LF_27a	: Thorax abdomen . 	irrelevant
ST.31b.534.1	LF_27a	: Their wings . 	irrelevant
ST.31b.535.1	LF_27a	: Hard skin . 	irrelevant
ST.31b.536.1	LF_27a	: The elytra flies . It makes a sound . 	correct
ST.31b.560.1	LF_27a	: When the Bess beetles are crawling in the wood they need something hard to protect itself . 	irrelevant
ST.31b.568.1	LF_27a	: Another function is the horn of the bess beetle . 	irrelevant
ST.31b.570.1	LF_27a	: It scares other animals away . 	partially_correct_incomplete
ST.31b.576.1	LF_27a	: To fly . 	irrelevant
ST.31b.593.1	LF_27a	: For protecting inner parts while going through small areas . 	irrelevant
ST.31b.605.1	LF_27a	: To protect itself . 	irrelevant
ST.31b.606.1	LF_27a	: Another function is to protect the abdomen of the bess beetle . 	irrelevant
ST.31b.607.1	LF_27a	: The elytra also protects the Bess beetle if it falls on its back . 	irrelevant
ST.31b.632.1	LF_27a	: It covers the wings . 	irrelevant
ST.31b.635.1	LF_27a	: The elytra makes sounds . Example danger , Example did you have a good day . 	correct
ST.31b.474.1	LF_27a	: Another function of the elytra is for strangulating . 	irrelevant
ST.31b.487.1	LF_27a	: Fly around . 	irrelevant
ST.31b.492.1	LF_27a	: The thorax . 	irrelevant
ST.31b.561.1	LF_27a	: The beetle can rub its elytra making noises in order to communicate . 	correct
